,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"136,734,084","+105,554","2,951,407","+2,179","109,971,227","+96,014","23,811,450","103,413","17,542",378.6,,,,All,"
",,
1,1,USA,"31,918,601",,"575,829 ",,"24,480,522",,"6,862,250","9,172","95,993","1,732","419,387,504","1,261,275","332,510,877 ",North America,10,577,1
2,2,India,"13,527,717","+2,338","170,209 ",,"12,156,529","+2,816","1,200,979","8,944","9,728",122,"257,806,986","185,402","1,390,530,992 ",Asia,103,"8,170",5
3,3,Brazil,"13,482,543",,"353,293 ",,"11,880,803",,"1,248,447","8,318","63,081","1,653","28,600,000","133,812","213,732,948 ",South America,16,605,7
4,4,France,"5,058,680",,"98,750 ",,"309,787",,"4,650,143","5,838","77,367","1,510","69,627,924","1,064,877","65,385,892 ",Europe,13,662,1
5,5,Russia,"4,649,710","+8,320","103,263 ",+277,"4,272,165","+6,656","274,282","2,300","31,851",707,"123,900,000","848,728","145,983,181 ",Europe,31,"1,414",1
6,6,UK,"4,369,775",,"127,087 ",,"3,972,029",,"270,659",406,"64,108","1,864","134,289,127","1,970,113","68,163,171 ",Europe,16,536,1
7,7,Turkey,"3,849,011",,"33,939 ",,"3,331,411",,"483,661","2,824","45,260",399,"41,591,854","489,069","85,042,925 ",Asia,22,"2,506",2
8,8,Italy,"3,769,814",,"114,254 ",,"3,122,555",,"533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563 ",Europe,16,529,1
9,9,Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878 ",Europe,14,613,1
10,10,Germany,"3,009,541",,"78,964 ",,"2,683,900","+12,700","246,677","4,515","35,831",940,"51,559,277","613,857","83,992,315 ",Europe,28,"1,064",2
11,11,Poland,"2,586,647","+12,013","58,481 ",+61,"2,197,782","+26,481","330,384","3,483","68,404","1,547","13,062,929","345,449","37,814,322 ",Europe,15,647,3
12,12,Colombia,"2,536,198",,"65,889 ",,"2,383,785",,"86,524","3,079","49,435","1,284","13,314,269","259,520","51,303,536 ",South America,20,779,4
13,13,Argentina,"2,532,562",,"57,779 ",,"2,233,140",,"241,643","3,789","55,639","1,269","9,590,737","210,704","45,517,627 ",South America,18,788,5
14,14,Mexico,"2,280,213","+1,793","209,338 ",+126,"1,809,921","+2,245","260,954","4,798","17,542","1,610","6,273,107","48,261","129,983,471 ",North America,57,621,21
15,15,Iran,"2,093,452","+23,311","64,764 ",+274,"1,720,084","+9,110","308,604","4,440","24,679",763,"13,770,167","162,334","84,826,064 ",Asia,41,"1,310",6
16,16,Ukraine,"1,861,105","+7,856","37,301 ",+287,"1,416,215","+5,355","407,589",177,"42,756",857,"8,677,716","199,356","43,528,763 ",Europe,23,"1,167",5
