,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"138,865,558","+44,268","2,986,118","+1,198","111,647,084","+40,791","24,232,356","106,591","17,815",383.1,,,,All,"
",,
1,1,USA,"32,149,223",,"578,092 ",,"24,696,161",,"6,874,970","9,676","96,682","1,738","423,439,379","1,273,399","332,526,757 ",North America,10,575,1
2,2,India,"14,074,564","+3,674","173,152 ",,"12,426,146",,"1,475,266","8,944","10,121",125,"262,003,415","188,405","1,390,642,113 ",Asia,99,"8,031",5
3,3,Brazil,"13,677,564",,"362,180 ",,"12,170,771",,"1,144,613","8,318","63,990","1,694","28,600,000","133,804","213,745,314 ",South America,16,590,7
4,4,France,"5,149,834",,"99,777 ",,"315,152",,"4,734,905","5,902","78,759","1,526","70,521,002","1,078,516","65,387,072 ",Europe,13,655,1
5,5,Russia,"4,666,209",,"104,000 ",,"4,291,223",,"270,986","2,300","31,964",712,"124,400,000","852,150","145,983,692 ",Europe,31,"1,404",1
6,6,UK,"4,378,305",,"127,161 ",,"4,000,777",,"250,367",370,"64,230","1,865","138,606,631","2,033,366","68,166,088 ",Europe,16,536,0
7,7,Turkey,"4,025,557",,"34,734 ",,"3,480,146",,"510,677","3,018","47,331",408,"42,509,905","499,820","85,050,360 ",Asia,21,"2,449",2
8,8,Italy,"3,809,193",,"115,557 ",,"3,178,976",,"514,660","3,490","63,075","1,913","53,885,257","892,261","60,391,837 ",Europe,16,523,1
9,9,Spain,"3,387,022",,"76,756 ",,"3,118,437",,"191,829","2,153","72,420","1,641","44,285,495","946,898","46,769,025 ",Europe,14,609,1
10,10,Germany,"3,064,382",,"79,813 ",,"2,736,100","+17,400","248,469","4,662","36,483",950,"51,559,277","613,841","83,994,506 ",Europe,27,"1,052",2
11,11,Poland,"2,621,116",,"59,930 ",,"2,229,801",,"331,385","3,457","69,316","1,585","13,243,930","350,239","37,813,984 ",Europe,14,631,3
12,12,Argentina,"2,604,157",,"58,542 ",,"2,278,486",,"267,129","3,879","57,208","1,286","9,833,106","216,012","45,521,023 ",South America,17,778,5
13,13,Colombia,"2,585,801",,"66,819 ",,"2,419,265",,"99,717","4,299","50,398","1,302","13,526,900","263,641","51,307,978 ",South America,20,768,4
14,14,Mexico,"2,291,246","+5,113","210,812 ",+518,"1,817,866","+2,629","262,568","4,798","17,626","1,622","6,332,152","48,711","129,994,567 ",North America,57,617,21
15,15,Iran,"2,143,794",,"65,359  ",,"1,739,002",,"339,433","4,539","25,270",770,"13,964,570","164,609","84,834,876 ",Asia,40,"1,298",6
16,16,Ukraine,"1,903,765","+16,427","38,658 ",+433,"1,453,766","+11,148","411,341",177,"43,738",888,"8,770,753","201,503","43,526,620 ",Europe,23,"1,126",5
17,17,Peru,"1,667,737",,"55,812 ",,"1,592,937",,"18,988","2,615","50,035","1,674","10,158,843","304,783","33,331,387 ",South America,20,597,3
18,18,Czechia,"1,590,124",,"28,124 ",,"1,480,882",,"81,118","1,097","148,269","2,622","14,872,167","1,386,734","10,724,603 ",Europe,7,381,1
19,19,Indonesia,"1,583,182",,"42,906 ",,"1,431,892",,"108,384",,"5,741",156,"13,584,986","49,258","275,790,702 ",Asia,174,"6,428",20
20,20,South Africa,"1,561,559",,"53,498 ",,"1,486,873",,"21,188",546,"26,072",893,"10,216,114","170,569","59,894,339 ",Africa,38,"1,120",6
21,21,Netherlands,"1,369,411",,"16,848 ",,N/A,N/A,N/A,776,"79,781",982,"11,292,587","657,897","17,164,681 ",Europe,13,"1,019",2
22,22,Chile,"1,094,267",,"24,548 ",,"1,026,934",,"42,785","3,271","56,860","1,276","12,057,833","626,546","19,244,919 ",South America,18,784,2
23,23,Canada,"1,087,152",,"23,445 ",,"983,506",,"80,201",928,"28,608",617,"29,363,293","772,683","38,001,715 ",North America,35,"1,621",1
24,24,Romania,"1,016,449",,"25,605 ",,"920,653",,"70,191","1,521","53,116","1,338","7,773,502","406,213","19,136,495 ",Europe,19,747,2
25,25,Iraq,"949,050",,"14,836 ",,"831,519",,"102,695",512,"23,189",363,"8,644,228","211,213","40,926,514 ",Asia,43,"2,759",5
26,26,Belgium,"935,316","+4,713","23,603 ",+37,"60,320",+356,"851,393",947,"80,428","2,030","11,820,183","1,016,418","11,629,250 ",Europe,12,493,1
27,27,Philippines,"892,880",,"15,447 ",,"704,386",,"173,047",750,"8,064",140,"10,917,317","98,600","110,723,047 ",Asia,124,"7,168",10
28,28,Sweden,"885,385",,"13,720 ",,N/A,N/A,N/A,391,"87,241","1,352","7,847,033","773,205","10,148,706 ",Europe,11,740,1
29,29,Israel,"836,504",,"6,312 ",,"827,184",,"3,008",219,"90,948",686,"13,914,938","1,512,890","9,197,590 ",Asia,11,"1,457",1
30,30,Portugal,"828,857",,"16,931 ",,"786,469",,"25,457",116,"81,474","1,664","9,608,064","944,440","10,173,293 ",Europe,12,601,1
31,31,Pakistan,"739,818","+5,395","15,872 ",+118,"646,652","+4,740","77,294","4,276","3,299",71,"10,942,771","48,799","224,242,164 ",Asia,303,"14,128",20
32,32,Hungary,"731,675",,"24,265 ",,"435,344",,"272,066","1,204","75,892","2,517","5,011,794","519,840","9,641,034 ",Europe,13,397,2
33,33,Bangladesh,"703,170",,"9,987 ",,"591,299",,"101,884",,"4,237",60,"5,095,613","30,701","165,975,757 ",Asia,236,"16,619",33
