,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"137,770,304","+501,897","2,965,198","+6,871","110,780,440","+344,284","24,024,666","104,006","17,675",380.4,,,,All,"
",,
1,1,USA,"32,013,126","+22,983","576,567 ",+269,"24,566,703","+5,847","6,869,856","9,307","96,275","1,734","421,045,966","1,266,242","332,516,170 ",North America,10,577,1
2,2,India,"13,852,712","+166,639","171,929 ",+840,"12,326,935","+76,495","1,353,848","8,944","9,962",124,"259,207,108","186,404","1,390,568,032 ",Asia,100,"8,088",5
3,3,Brazil,"13,521,409",,"355,031 ",,"11,957,068",,"1,209,310","8,318","63,262","1,661","28,600,000","133,809","213,737,070 ",South America,16,602,7
4,4,France,"5,106,329","+39,113","99,480 ",+345,"313,051","+2,117","4,693,798","5,952","78,095","1,521","70,448,755","1,077,424","65,386,285 ",Europe,13,657,1
5,5,Russia,"4,657,883","+8,173","103,601 ",+338,"4,281,776","+9,611","272,506","2,300","31,907",710,"124,100,000","850,097","145,983,351 ",Europe,31,"1,409",1
6,6,UK,"4,375,814","+2,472","127,123 ",+23,"3,992,416","+10,604","256,275",377,"64,195","1,865","137,848,442","2,022,301","68,164,143 ",Europe,16,536,0
7,7,Turkey,"3,962,760","+59,187","34,455 ",+273,"3,424,733","+52,104","503,572","2,951","46,596",405,"42,199,485","496,199","85,045,404 ",Asia,21,"2,468",2
8,8,Italy,"3,793,033","+13,447","115,088 ",+476,"3,158,725","+18,160","519,220","3,526","62,807","1,906","53,550,491","886,710","60,392,321 ",Europe,16,525,1
9,9,Spain,"3,376,548","+6,292","76,625 ",+100,"3,114,053","+3,027","185,870","2,152","72,196","1,638","44,285,495","946,900","46,768,927 ",Europe,14,610,1
10,10,Germany,"3,031,836","+10,772","79,408 ",+298,"2,700,200","+16,300","252,228","4,662","36,096",945,"51,559,277","613,852","83,993,045 ",Europe,28,"1,058",2
11,11,Poland,"2,599,850","+13,227","59,126 ",+644,"2,219,655","+21,873","321,069","3,513","68,753","1,564","13,062,929","345,450","37,814,209 ",Europe,15,640,3
12,12,Colombia,"2,552,937",,"66,156 ",,"2,395,733",,"91,048","3,079","49,760","1,289","13,367,485","260,549","51,305,017 ",South America,20,776,4
13,13,Argentina,"2,551,999",,"57,957 ",,"2,247,124",,"246,918","3,819","56,065","1,273","9,655,684","212,125","45,518,759 ",South America,18,785,5
14,14,Mexico,"2,281,840","+1,627","209,702 ",+364,"1,812,694","+2,773","259,444","4,798","17,554","1,613","6,279,527","48,309","129,987,170 ",North America,57,620,21
15,15,Iran,"2,118,212","+24,760","65,055 ",+291,"1,729,293","+9,209","323,864","4,481","24,970",767,"13,866,887","163,469","84,829,001 ",Asia,40,"1,304",6
16,16,Ukraine,"1,872,785","+11,680","37,758 ",+457,"1,430,234","+14,019","404,793",177,"43,025",867,"8,677,716","199,359","43,528,048 ",Europe,23,"1,153",5
17,17,Peru,"1,653,320",,"55,230 ",,"1,575,242",,"22,848","2,073","49,606","1,657","10,026,470","300,834","33,328,876 ",South America,20,603,3
18,18,Czechia,"1,585,037","+3,843","28,038 ",+42,"1,473,483",+264,"83,516","1,144","147,796","2,614","14,635,011","1,364,634","10,724,495 ",Europe,7,382,1
19,19,Indonesia,"1,577,526","+5,702","42,782 ",+126,"1,426,145","+6,349","108,599",,"5,720",155,"13,510,828","48,992","275,774,906 ",Asia,175,"6,446",20
20,20,South Africa,"1,559,113",,"53,356 ",,"1,484,356",,"21,401",546,"26,033",891,"10,154,978","169,560","59,890,253 ",Africa,38,"1,122",6
21,21,Netherlands,"1,364,025","+6,685","16,822 ",+31,N/A,N/A,N/A,782,"79,468",980,"11,292,587","657,905","17,164,474 ",Europe,13,"1,020",2
22,22,Chile,"1,088,710","+5,790","24,518 ",+35,"1,020,925","+8,021","43,267","3,203","56,574","1,274","12,021,128","624,668","19,244,023 ",South America,18,785,2
23,23,Canada,"1,076,319","+5,303","23,385 ",+29,"974,705","+2,180","78,229",928,"28,324",615,"29,142,269","766,904","37,999,909 ",North America,35,"1,625",1
24,24,Romania,"1,012,373","+3,883","25,441 ",+193,"915,464","+5,166","71,468","1,530","52,901","1,329","7,736,296","404,254","19,137,193 ",Europe,19,752,2
25,25,Iraq,"941,078","+8,179","14,796 ",+39,"826,323","+5,791","99,959",477,"22,997",362,"8,599,946","210,157","40,921,569 ",Asia,43,"2,766",5
26,26,Belgium,"927,229","+1,753","23,503 ",+30,"59,873",+119,"843,853",899,"79,734","2,021","11,723,475","1,008,126","11,628,975 ",Europe,13,495,1
27,27,Philippines,"884,783","+8,571","15,286 ",+137,"703,963",+400,"165,534",750,"7,992",138,"10,857,391","98,066","110,715,077 ",Asia,125,"7,243",10
28,28,Sweden,"876,506",,"13,660 ",+36,N/A,N/A,N/A,391,"86,369","1,346","7,847,033","773,231","10,148,363 ",Europe,12,743,1
29,29,Israel,"836,334",+176,"6,309 ",+5,"826,768",+274,"3,257",231,"90,930",686,"13,838,957","1,504,629","9,197,590 ",Asia,11,"1,458",1
30,30,Portugal,"828,173",+408,"16,923 ",+5,"785,809",+746,"25,441",118,"81,405","1,663","9,530,238","936,775","10,173,455 ",Europe,12,601,1
31,31,Pakistan,"729,920","+4,318","15,619 ",+118,"638,267","+3,432","76,034","4,198","3,255",70,"10,829,994","48,301","224,218,687 ",Asia,307,"14,356",21
32,32,Hungary,"728,078","+2,837","23,980 ",+272,"431,124","+2,050","272,974","1,209","75,518","2,487","4,976,613","516,184","9,641,167 ",Europe,13,402,2
33,33,Bangladesh,"697,985","+6,028","9,891 ",+69,"585,966","+4,853","102,128",,"4,206",60,"5,070,788","30,553","165,966,798 ",Asia,238,"16,780",33
34,34,Jordan,"672,090","+2,790","7,937 ",+82,"610,614","+6,570","53,539",729,"65,366",772,"6,372,263","619,750","10,281,995 ",Asia,15,"1,295",2
35,35,Serbia,"648,745","+3,572","5,808 ",+35,"566,122","+5,188","76,815",247,"74,484",667,"3,617,179","415,298","8,709,834 ",Europe,13,"1,500",2
36,36,Switzerland,"625,367","+2,241","10,472 ",+6,"560,294",,"54,601",214,"71,849","1,203","6,437,818","739,643","8,703,948 ",Europe,14,831,1
37,37,Austria,"581,263","+2,313","9,748 ",+42,"541,786","+3,177","29,729",599,"64,253","1,078","27,197,861","3,006,461","9,046,471 ",Europe,16,928,0
38,38,Japan,"508,802","+2,516","9,425 ",+25,"468,770","+2,854","30,607",596,"4,033",75,"10,529,634","83,454","126,173,611 ",Asia,248,"13,387",12
39,39,Morocco,"502,277",,"8,909 ",,"488,632",,"4,736",240,"13,484",239,"6,106,431","163,927","37,250,917 ",Africa,74,"4,181",6
40,40,Lebanon,"499,839","+1,985","6,738 ",+35,"411,710","+5,615","81,391",844,"73,489",991,"3,740,454","549,943","6,801,526 ",Asia,14,"1,009",2
41,41,UAE,"487,697","+2,022","1,537 ",+4,"471,906","+1,731","14,254",,"48,851",154,"40,669,721","4,073,751","9,983,359 ",Asia,20,"6,495",0
42,42,Saudi Arabia,"400,228",+951,"6,773 ",+8,"384,635",+608,"8,820",962,"11,359",192,"15,919,088","451,797","35,235,026 ",Asia,88,"5,202",2
43,43,Bulgaria,"375,115",,"14,619 ",,"289,356",,"71,140",776,"54,306","2,116","2,287,726","331,196","6,907,472 ",Europe,18,472,3
44,44,Slovakia,"372,038",+870,"10,716 ",+86,"255,300",,"106,022",506,"68,118","1,962","2,449,747","448,531","5,461,708 ",Europe,15,510,2
45,45,Malaysia,"363,940","+1,767","1,345 ",+12,"346,295","+1,290","16,300",199,"11,134",41,"8,292,260","253,675","32,688,487 ",Asia,90,"24,304",4
46,46,Panama,"358,792",,"6,167 ",,"348,554",,"4,071",105,"82,150","1,412","2,243,777","513,741","4,367,524 ",North America,12,708,2
47,47,Ecuador,"347,589",+519,"17,351 ",+53,"298,604","+8,290","31,634",600,"19,471",972,"1,198,764","67,153","17,851,195 ",South America,51,"1,029",15
48,48,Belarus,"337,635",+754,"2,373 ",+10,"327,848",+761,"7,414",,"35,740",251,"5,570,822","589,699","9,446,894 ",Europe,28,"3,981",2
49,49,Greece,"301,103","+4,017","9,054 ",+93,"254,804",,"37,245",802,"28,999",872,"7,185,541","692,035","10,383,207 ",Europe,34,"1,147",1
50,50,Croatia,"294,874","+1,936","6,358 ",+25,"276,420","+1,659","12,096",192,"72,177","1,556","1,652,525","404,491","4,085,445 ",Europe,14,643,2
51,51,Georgia,"290,129","+1,374","3,894 ",+11,"278,251",+422,"7,984",,"72,839",978,"3,722,612","934,583","3,983,180 ",Asia,14,"1,023",1
52,52,Azerbaijan,"289,601","+2,457","3,978 ",+34,"253,762","+2,002","31,861",,"28,363",390,"3,040,386","297,775","10,210,354 ",Asia,35,"2,567",3
53,53,Bolivia,"283,084",+989,"12,469 ",+18,"232,422",+876,"38,193",71,"23,997","1,057","999,531","84,729","11,796,807 ",South America,42,946,12
54,54,Nepal,"280,984",+460,"3,058 ",+5,"274,318",+153,"3,608",,"9,511",104,"2,321,670","78,585","29,543,475 ",Asia,105,"9,661",13
55,55,Kazakhstan,"273,825","+2,016","3,260 ",+24,"235,862","+1,197","34,703",221,"14,449",172,"9,258,849","488,557","18,951,428 ",Asia,69,"5,813",2
56,56,Tunisia,"272,940",,"9,332 ",,"226,070",,"37,538",415,"22,907",783,"1,186,045","99,543","11,914,881 ",Africa,44,"1,277",10
57,57,Palestine,"272,767","+1,911","2,901 ",+18,"237,046","+2,348","32,820",182,"52,524",559,"1,636,553","315,132","5,193,231 ",Asia,19,"1,790",3
58,58,Dominican Republic,"258,637",+598,"3,397 ",+5,"217,008",+228,"38,232",148,"23,657",311,"1,352,703","123,731","10,932,601 ",North America,42,"3,218",8
59,59,Kuwait,"248,729",,"1,412 ",,"232,556",,"14,761",228,"57,581",327,"2,169,047","502,135","4,319,647 ",Asia,17,"3,059",2
60,60,Moldova,"242,364",+544,"5,438 ",+29,"225,036","+1,214","11,890",293,"60,190","1,351","909,884","225,967","4,026,631 ",Europe,17,740,4
61,61,Ireland,"241,684",+354,"4,803 ",+18,"23,364",,"213,517",46,"48,524",964,"4,209,763","845,214","4,980,708 ",Europe,21,"1,037",1
62,62,Denmark,"238,869",+563,"2,446 ",+3,"228,007",+763,"8,416",39,"41,127",421,"29,940,622","5,154,958","5,808,121 ",Europe,24,"2,375",0
63,63,Paraguay,"237,542",,"4,889 ",,"194,987",,"37,666",446,"32,989",679,"981,681","136,332","7,200,687 ",South America,30,"1,473",7
64,64,Ethiopia,"230,944",,"3,208 ",,"171,980",,"55,756",983,"1,971",27,"2,453,287","20,938","117,166,929 ",Africa,507,"36,523",48
65,65,Lithuania,"227,889","+1,088","3,713 ",+12,"207,391","+1,426","16,785",150,"84,639","1,379","2,516,597","934,678","2,692,476 ",Europe,12,725,1
66,66,Slovenia,"227,836","+1,049","4,130 ",+4,"209,920","+1,078","13,786",146,"109,581","1,986","1,109,932","533,836","2,079,161 ",Europe,9,503,2
67,67,Costa Rica,"222,544",,"3,018 ",,"194,760",,"24,766",199,"43,378",588,"842,015","164,124","5,130,346 ",North America,23,"1,700",6
68,68,Egypt,"211,307",,"12,487 ",,"159,999",,"38,821",90,"2,035",120,"2,677,262","25,785","103,831,623 ",Africa,491,"8,315",39
69,69,Armenia,"204,053",+726,"3,775 ",+22,"183,660",+824,"16,618",,"68,761","1,272","909,604","306,515","2,967,568 ",Asia,15,786,3
70,70,Guatemala,"203,309",,"7,020 ",,"186,127",,"10,162",5,"11,188",386,"1,108,633","61,005","18,172,684 ",North America,89,"2,589",16
71,71,Honduras,"196,086",+306,"4,861 ",+57,"75,952",+156,"115,273",536,"19,556",485,"542,768","54,131","10,026,957 ",North America,51,"2,063",18
