,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
72,72,Qatar,"191,979",+981,340 ,+5,"170,787",+593,"20,852",479,"68,373",121,"1,814,379","646,191","2,807,805 ",Asia,15,"8,258",2
73,73,Bosnia and Herzegovina,"184,698",,"7,487 ",,"141,602",,"35,609",,"56,572","2,293","846,536","259,289","3,264,840 ",Europe,18,436,4
74,74,Venezuela,"175,812",,"1,795 ",,"158,399",,"15,618",237,"6,196",63,"3,359,014","118,388","28,372,923 ",South America,161,"15,807",8
75,75,Oman,"174,364","+1,335","1,798 ",+9,"154,771",+785,"17,795",250,"33,486",345,"1,550,000","297,671","5,207,086 ",Asia,30,"2,896",3
76,76,Libya,"169,504",+828,"2,830 ",+2,"154,220",+576,"12,454",,"24,410",408,"919,189","132,373","6,943,932 ",Africa,41,"2,454",8
77,77,Nigeria,"163,837",,"2,061 ",,"154,177",,"7,599",11,780,10,"1,838,174","8,749","210,092,733 ",Africa,"1,282","101,937",114
78,78,Bahrain,"157,729",,562 ,,"145,953",,"11,214",85,"90,279",322,"3,798,472","2,174,112","1,747,137 ",Asia,11,"3,109",0
79,79,Uruguay,"147,173",,"1,533 ",,"113,125",,"32,515",494,"42,253",440,"1,532,512","439,982","3,483,126 ",South America,24,"2,272",2
80,80,Kenya,"147,147",+991,"2,394 ",+26,"99,580",+370,"45,173",239,"2,691",44,"1,571,244","28,731","54,688,827 ",Africa,372,"22,844",35
81,81,North Macedonia,"143,162","+1,128","4,289 ",+27,"118,946","+1,152","19,927",124,"68,719","2,059","674,378","323,706","2,083,307 ",Europe,15,486,3
82,82,Myanmar,"142,596",,"3,206 ",,"131,869",,"7,521",,"2,607",59,"2,555,312","46,720","54,694,134 ",Asia,384,"17,060",21
83,83,Albania,"128,752",+234,"2,326 ",+5,"98,903",+634,"27,523",18,"44,778",809,"590,174","205,254","2,875,341 ",Europe,22,"1,236",5
84,84,Algeria,"118,799",+154,"3,137 ",+3,"82,813",+109,"32,849",19,"2,672",71,"230,861","5,192","44,465,491 ",Africa,374,"14,175",193
85,85,Estonia,"115,080",+638,"1,049 ",+12,"96,844","+1,598","17,187",72,"86,707",790,"1,204,118","907,240","1,327,232 ",Europe,12,"1,265",1
86,86,S. Korea,"110,688",+542,"1,775 ",+5,"101,332",+528,"7,581",101,"2,158",35,"8,200,519","159,843","51,303,652 ",Asia,463,"28,903",6
87,87,Latvia,"108,355",+537,"2,002 ",+12,"99,840",+200,"6,513",94,"57,949","1,071","2,049,958","1,096,325","1,869,845 ",Europe,17,934,1
88,88,Norway,"104,647",+648,688 ,+1,"88,952",,"15,007",57,"19,186",126,"4,896,385","897,716","5,454,272 ",Europe,52,"7,928",1
89,89,Sri Lanka,"95,394",,602 ,+4,"91,926",+151,"2,866",,"4,440",28,"2,374,627","110,534","21,483,302 ",Asia,225,"35,687",9
90,90,Montenegro,"94,643",+224,"1,391 ",+10,"89,235",+401,"4,017",69,"150,675","2,215","354,624","564,573","628,128 ",Europe,7,452,2
91,91,Ghana,"91,410",+75,761 ,+7,"89,219",+127,"1,430",10,"2,895",24,"1,032,144","32,688","31,575,645 ",Africa,345,"41,492",31
92,92,Kyrgyzstan,"90,599",+227,"1,532 ",+4,"86,152",+124,"2,915",25,"13,711",232,"908,302","137,460","6,607,775 ",Asia,73,"4,313",7
93,93,Zambia,"90,218",+154,"1,229 ",+2,"88,144",+67,845,56,"4,803",65,"1,314,850","70,007","18,781,755 ",Africa,208,"15,282",14
94,94,Cuba,"88,445","+1,060",476 ,+9,"83,087","+1,187","4,882",61,"7,812",42,"3,256,543","287,650","11,321,213 ",North America,128,"23,784",3
95,95,Uzbekistan,"85,291",+177,634 ,,"83,089",+146,"1,568",23,"2,520",19,"1,377,915","40,711","33,846,159 ",Asia,397,"53,385",25
96,96,Finland,"82,564",+286,877 ,+3,"46,000",,"35,687",38,"14,883",158,"4,182,779","754,001","5,547,442 ",Europe,67,"6,325",1
97,97,Mozambique,"68,871",+79,794 ,+3,"59,901",+500,"8,176",68,"2,157",25,"498,247","15,603","31,932,011 ",Africa,464,"40,217",64
98,98,El Salvador,"66,657",+168,"2,054 ",,"63,072",+114,"1,531",60,"10,236",315,"873,873","134,200","6,511,733 ",North America,98,"3,170",7
99,99,Luxembourg,"64,062",+182,777 ,+5,"60,012",+24,"3,273",30,"101,062","1,226","2,520,656","3,976,507","633,887 ",Europe,10,816,0
100,100,Cameroon,"61,731",,919 ,,"56,926",,"3,886",385,"2,282",34,"1,257,949","46,492","27,057,111 ",Africa,438,"29,442",22
101,101,Singapore,"60,692",+14,30 ,,"60,374",+17,288,1,"10,311",5,"8,789,647","1,493,265","5,886,193 ",Asia,97,"196,206",1
102,102,Afghanistan,"57,492",+128,"2,532 ",+3,"52,013",+8,"2,947","1,124","1,452",64,"374,076","9,445","39,607,351 ",Asia,689,"15,643",106
103,103,Cyprus,"52,033",,273 ,,"39,061",,"12,699",56,"42,853",225,"4,001,418","3,295,494","1,214,209 ",Asia,23,"4,448",0
104,104,Namibia,"45,949",+162,586 ,+11,"43,984",+263,"1,379",32,"17,833",227,"365,079","141,690","2,576,611 ",Africa,56,"4,397",7
105,105,Ivory Coast,"45,227",,268 ,,"44,683",,276,,"1,682",10,"557,294","20,730","26,883,682 ",Africa,594,"100,312",48
106,106,Botswana,"43,444",,663 ,,"38,923",,"3,858",1,"18,189",278,"958,802","401,435","2,388,438 ",Africa,55,"3,602",2
107,107,Jamaica,"42,924",+161,682 ,+6,"19,136",+119,"23,106",37,"14,446",230,"307,193","103,388","2,971,251 ",North America,69,"4,357",10
108,108,Uganda,"41,174",,337 ,,"40,779",,58,24,879,7,"969,637","20,694","46,855,361 ",Africa,"1,138","139,037",48
109,109,Senegal,"39,495",+30,"1,081 ",+2,"38,241",+26,173,14,"2,312",63,"456,487","26,718","17,085,094 ",Africa,433,"15,805",37
110,110,Zimbabwe,"37,307",,"1,542  ",,"34,901",,864,12,"2,482",103,"394,257","26,229","15,031,062 ",Africa,403,"9,748",38
111,111,Thailand,"34,575",+965,97 ,,"28,288",+40,"6,190",1,494,1,"8,124,896","116,175","69,936,717 ",Asia,"2,023","720,997",9
112,112,Malawi,"33,859",,"1,132 ",,"31,572",,"1,155",21,"1,735",58,"224,636","11,513","19,512,250 ",Africa,576,"17,237",87
113,113,Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,219","44,641,909 ",Africa,"1,483","21,639",192
114,114,Malta,"29,720",+59,403 ,+1,"28,756",+50,561,,"67,170",911,"836,521","1,890,610","442,461 ",Europe,15,"1,098",1
115,115,Australia,"29,426",+7,910 ,+1,"26,361",,"2,155",,"1,144",35,"16,161,532","628,118","25,730,082 ",Australia/Oceania,874,"28,275",2
116,116,Madagascar,"28,765",+224,512 ,+6,"24,410",+305,"3,843",246,"1,019",18,"156,363","5,537","28,241,598 ",Africa,982,"55,159",181
117,117,DRC,"28,665",+54,745 ,,"25,841",,"2,079",,313,8,"143,197","1,562","91,662,959 ",Africa,"3,198","123,038",640
118,118,Maldives,"25,701",,67 ,,"22,796",,"2,838",82,"46,905",122,"670,883","1,224,389","547,933 ",Asia,21,"8,178",1
119,119,Angola,"23,549",,554 ,,"22,093",,902,15,700,16,"443,086","13,165","33,655,110 ",Africa,"1,429","60,749",76
120,120,Rwanda,"23,535",,316 ,,"21,272",,"1,947",8,"1,783",24,"1,224,739","92,779","13,200,639 ",Africa,561,"41,774",11
121,121,Guinea,"21,106",+74,136 ,,"18,686",+73,"2,284",24,"1,574",10,"416,078","31,032","13,408,133 ",Africa,635,"98,589",32
122,122,Gabon,"20,971",,129 ,,"17,762",,"3,080",20,"9,253",57,"669,004","295,185","2,266,390 ",Africa,108,"17,569",3
123,123,Syria,"20,331",,"1,385 ",,"14,122",,"4,824",,"1,140",78,"103,566","5,809","17,829,667 ",Asia,877,"12,873",172
124,124,Mayotte,"19,706",,167 ,,"2,964",,"16,575",8,"70,908",601,"165,683","596,177","277,909 ",Africa,14,"1,664",2
125,125,Cabo Verde,"19,110",,184 ,,"17,399",,"1,527",23,"34,083",328,"136,977","244,302","560,687 ",Africa,29,"3,047",4
126,126,French Polynesia,"18,666",,141 ,,"4,842",,"13,683",2,"66,151",500,"26,355","93,400","282,174 ",Australia/Oceania,15,"2,001",11
127,127,Réunion,"18,425",+917,135 ,+12,"16,794",+783,"1,496",54,"20,466",150,"100,098","111,184","900,292 ",Africa,49,"6,669",9
128,128,Eswatini,"18,393",,669 ,,"17,682",,42,3,"15,727",572,"173,720","148,540","1,169,515 ",Africa,64,"1,748",7
129,129,Mauritania,"18,035",,450 ,,"17,373",,212,14,"3,802",95,"215,922","45,513","4,744,159 ",Africa,263,"10,543",22
130,130,French Guiana,"17,706",,94 ,,"9,995",,"7,617",9,"58,116",309,"171,169","561,820","304,669 ",South America,17,"3,241",2
131,131,Mongolia,"16,603",+885,27 ,+2,"9,887",+371,"6,689",88,"5,002",8,"2,492,932","751,044","3,319,290 ",Asia,200,"122,937",1
132,133,Burkina Faso,"12,989",,153 ,,"12,627",,209,,608,7,"175,352","8,215","21,346,254 ",Africa,"1,643","139,518",122
133,134,Haiti,"12,855",,251 ,,"11,513",,"1,091",,"1,117",22,"60,085","5,220","11,510,653 ",North America,895,"45,859",192
134,135,Andorra,"12,581",,121 ,,"11,890",,570,12,"162,625","1,564","193,595","2,502,456","77,362 ",Europe,6,639,0
135,136,Somalia,"12,566",,618 ,,"5,270",,"6,678",,774,38,"100,631","6,198","16,235,833 ",Africa,"1,292","26,272",161
136,137,Belize,"12,503",,318 ,,"12,134",,51,1,"31,007",789,"106,371","263,798","403,229 ",North America,32,"1,268",4
137,138,Guadeloupe,"12,140",,174 ,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397","400,177 ",North America,33,"2,300",3
138,139,Togo,"12,034",,116 ,,"9,303",,"2,615",,"1,428",14,"292,368","34,686","8,428,939 ",Africa,700,"72,663",29
139,140,Mali,"12,002",,414 ,,"7,166",,"4,422",,580,20,"243,860","11,780","20,701,344 ",Africa,"1,725","50,003",85
140,141,Hong Kong,"11,608",+13,207 ,,"11,227",+13,174,7,"1,539",27,"11,193,673","1,483,712","7,544,369 ",Asia,650,"36,446",1
141,142,Curaçao,"11,385",,68 ,,"6,845",,"4,472",22,"69,161",413,"85,247","517,851","164,617 ",North America,14,"2,421",2
142,143,Guyana,"11,189",,257 ,,"9,751",,"1,181",17,"14,172",326,"99,746","126,339","789,513 ",South America,71,"3,072",8
143,144,Lesotho,"10,709",,315 ,,"5,028",,"5,366",,"4,968",146,"71,629","33,231","2,155,481 ",Africa,201,"6,843",30
144,145,South Sudan,"10,387",+6,114 ,,"10,148",,125,,920,10,"140,302","12,421","11,295,828 ",Africa,"1,087","99,086",81
145,146,Congo,"10,084",,137 ,,"8,208",,"1,739",,"1,793",24,"92,500","16,450","5,623,185 ",Africa,558,"41,045",61
146,147,Djibouti,"10,077",+102,102 ,+2,"8,394",+210,"1,581",,"10,085",102,"141,406","141,524","999,165 ",Africa,99,"9,796",7
147,148,Aruba,"10,076",,92 ,,"9,468",,516,14,"94,063",859,"136,656","1,275,728","107,120 ",North America,11,"1,164",1
148,149,Bahamas,"9,460",,190 ,,"8,865",,405,4,"23,879",480,"80,573","203,380","396,170 ",North America,42,"2,085",5
149,150,Suriname,"9,316",,182 ,,"8,700",,434,10,"15,770",308,"46,195","78,200","590,726 ",South America,63,"3,246",13
150,151,Martinique,"9,028",,57 ,,98,,"8,873",5,"24,072",152,"133,358","355,585","375,038 ",North America,42,"6,580",3
151,152,Papua New Guinea,"8,821",+219,69 ,,846,,"7,906",,972,8,"70,260","7,739","9,078,488 ",Australia/Oceania,"1,029","131,572",129
152,153,Trinidad and Tobago,"8,441",,146 ,,"7,775",,520,14,"6,016",104,"117,847","83,995","1,403,025 ",North America,166,"9,610",12
153,154,Benin,"7,515",,93 ,,"6,452",,970,35,608,8,"548,484","44,344","12,368,739 ",Africa,"1,646","132,997",23
154,155,Equatorial Guinea,"7,219",,106 ,,"6,799",,314,11,"5,018",74,"115,364","80,196","1,438,522 ",Africa,199,"13,571",12
155,156,Nicaragua,"6,727",,179 ,,"4,225",,"2,323",,"1,006",27,,,"6,685,869 ",North America,994,"37,351",
156,157,Iceland,"6,274",+7,29  ,,"6,152",+12,93,,"18,293",85,"564,307","1,645,359","342,969 ",Europe,55,"11,827",1
157,158,Gambia,"5,602",,168 ,,"5,145",,289,3,"2,269",68,"59,297","24,015","2,469,123 ",Africa,441,"14,697",42
158,159,Yemen,"5,507",+61,"1,073 ",+5,"2,070",+11,"2,364",23,182,35,"22,934",756,"30,334,834 ",Asia,"5,508","28,271","1,323"
159,160,CAR,"5,491",,74 ,,"5,056",,361,2,"1,122",15,"40,907","8,357","4,894,947 ",Africa,891,"66,148",120
160,161,Niger,"5,081",,189 ,,"4,760",,132,1,204,8,"93,751","3,768","24,881,206 ",Africa,"4,897","131,647",265
161,162,San Marino,"4,985",+20,86 ,,"4,568",+52,331,8,"146,674","2,530","56,871","1,673,316","33,987 ",Europe,7,395,1
162,163,Cambodia,"4,696",+181,33 ,+3,"2,252",+40,"2,411",,278,2,"782,811","46,323","16,898,828 ",Asia,"3,599","512,086",22
163,164,Chad,"4,641",,167 ,,"4,298",,176,,276,10,"110,863","6,603","16,789,929 ",Africa,"3,618","100,538",151
164,165,Seychelles,"4,633",+189,25 ,,"4,310",+149,298,,"46,882",253,"21,504","217,603","98,822 ",Africa,21,"3,953",5
165,166,Saint Lucia,"4,355",,64 ,,"4,179",,112,1,"23,632",347,"37,758","204,893","184,282 ",North America,42,"2,879",5
166,167,Gibraltar,"4,277",,94 ,,"4,181",,2,,"126,978","2,791","219,808","6,525,785","33,683 ",Europe,8,358,0
167,168,Channel Islands,"4,053",+2,86 ,,"3,956",,11,1,"23,145",491,"399,901","2,283,700","175,111 ",Europe,43,"2,036",0
168,169,Sierra Leone,"4,009",+1,79 ,,"2,832",+1,"1,098",,495,10,"118,332","14,604","8,102,739 ",Africa,"2,021","102,566",68
169,170,Comoros,"3,796",+7,146 ,,"3,582",+5,68,,"4,294",165,,,"883,955 ",Africa,233,"6,054",
170,171,Barbados,"3,734",,44 ,,"3,613",,77,,"12,981",153,"146,355","508,795","287,650 ",North America,77,"6,538",2
171,172,Guinea-Bissau,"3,680",,66 ,,"3,069",,545,9,"1,836",33,"60,281","30,080","2,004,008 ",Africa,545,"30,364",33
172,173,Eritrea,"3,469",+3,10 ,,"3,231",+35,228,,968,3,"23,693","6,610","3,584,575 ",Africa,"1,033","358,458",151
173,174,Burundi,"3,262",+108,6 ,,773,,"2,483",,268,0.5,"90,019","7,400","12,164,194 ",Africa,"3,729","2,027,366",135
174,175,Liechtenstein,"2,768",+14,56 ,,"2,634",+9,78,5,"72,436","1,465","32,252","844,006","38,213 ",Europe,14,682,1
175,176,Vietnam,"2,714",+9,35 ,,"2,445",,234,,28,0.4,"2,598,753","26,512","98,020,700 ",Asia,"36,117","2,800,591",38
176,177,New Zealand,"2,587",+4,26 ,,"2,459",+2,102,,517,5,"1,948,223","389,481","5,002,100 ",Australia/Oceania,"1,934","192,388",3
177,178,Monaco,"2,377",,31 ,,"2,247",,99,6,"60,240",786,"51,953","1,316,632","39,459 ",Europe,17,"1,273",1
178,179,Turks and Caicos,"2,357",,17 ,,"2,283",,57,2,"60,244",435,"41,059","1,049,458","39,124 ",North America,17,"2,301",1
179,180,Sao Tome and Principe,"2,268",+1,35 ,,"2,192",+4,41,,"10,202",157,"12,597","56,663","222,316 ",Africa,98,"6,352",18
