,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"142,191,658","+193,158","3,035,686","+2,795","120,880,008","+178,704","18,275,964","107,555","18,242",389.5,,,,All,"
",,
1,1,USA,"32,407,610","+3,147","581,080 ",+19,"24,961,311",+82,"6,865,219","9,804","97,452","1,747","429,244,053","1,290,773","332,547,930 ",North America,10,572,1
2,2,India,"15,114,247","+56,480","179,008 ",+215,"12,970,068","+21,220","1,965,171","8,944","10,867",129,"267,894,549","192,620","1,390,790,274 ",Asia,92,"7,769",5
3,3,Brazil,"13,943,071",,"373,442 ",,"12,391,599",,"1,178,030","8,318","65,227","1,747","28,600,000","133,794","213,761,802 ",South America,15,572,7
4,4,France,"5,289,526",,"100,733 ",,"4,115,944",,"1,072,849","5,893","80,894","1,541","72,191,601","1,104,039","65,388,646 ",Europe,12,649,1
5,5,Russia,"4,710,690","+8,589","105,928 ",+346,"4,333,598","+6,818","271,164","2,300","32,268",726,"126,000,000","863,106","145,984,373 ",Europe,31,"1,378",1
6,6,UK,"4,387,820",,"127,270 ",,"4,150,568",,"109,982",332,"64,366","1,867","140,944,028","2,067,538","68,169,978 ",Europe,16,536,0
7,7,Turkey,"4,268,447",,"35,926 ",,"3,687,590",,"544,931","3,275","50,181",422,"43,768,759","514,562","85,060,273 ",Asia,20,"2,368",2
8,8,Italy,"3,870,131",,"116,927 ",,"3,248,593",,"504,611","3,311","64,085","1,936","55,094,444","912,298","60,390,869 ",Europe,16,516,1
9,9,Spain,"3,407,283",,"76,981 ",,"3,129,234",,"201,068","2,180","72,853","1,646","44,285,495","946,894","46,769,223 ",Europe,14,608,1
10,10,Germany,"3,151,030",,"80,591 ",,"2,787,200","+12,000","283,239","4,740","37,513",959,"52,737,238","627,844","83,997,426 ",Europe,27,"1,042",2
11,11,Poland,"2,695,327","+7,283","62,133 ",+101,"2,334,978","+23,833","298,216","3,346","71,279","1,643","13,503,602","357,110","37,813,532 ",Europe,14,609,3
12,12,Argentina,"2,694,014",,"59,228 ",,"2,364,171",,"270,615","4,105","59,176","1,301","10,154,530","223,051","45,525,551 ",South America,17,769,4
13,13,Colombia,"2,652,947",,"68,328 ",,"2,471,498",,"113,121","4,299","51,700","1,332","13,844,971","269,809","51,313,902 ",South America,19,751,4
14,14,Mexico,"2,305,602","+1,506","212,339 ",+111,"1,829,480","+2,834","263,783","4,798","17,734","1,633","6,407,248","49,283","130,009,363 ",North America,56,612,20
15,15,Iran,"2,261,435","+24,346","67,130 ",+398,"1,797,319","+11,961","396,986","4,843","26,653",791,"14,500,500","170,902","84,846,625 ",Asia,38,"1,264",6
16,16,Ukraine,"1,953,016","+6,506","40,000 ",+214,"1,487,677","+5,598","425,339",177,"44,872",919,"8,958,482","205,830","43,523,764 ",Europe,22,"1,088",5
17,17,Peru,"1,704,757",,"57,230 ",,"1,627,969",,"19,558","2,636","51,138","1,717","10,435,441","313,034","33,336,408 ",South America,20,582,3
18,18,Indonesia,"1,609,300","+4,952","43,567 ",+143,"1,461,414","+6,349","104,319",,"5,835",158,"13,891,160","50,363","275,822,293 ",Asia,171,"6,331",20
19,19,Czechia,"1,602,711",+823,"28,532 ",+30,"1,508,982",+39,"65,197",879,"149,439","2,660","15,718,197","1,465,591","10,724,820 ",Europe,7,376,1
20,20,South Africa,"1,566,769",,"53,736 ",,"1,490,143",,"22,890",546,"26,155",897,"10,337,066","172,565","59,902,511 ",Africa,38,"1,115",6
21,21,Netherlands,"1,410,950","+7,117","16,938 ",+22,"1,177,664","+7,581","216,348",801,"82,199",987,"11,781,337","686,354","17,165,094 ",Europe,12,"1,013",1
22,22,Chile,"1,124,718",,"25,177 ",,"1,053,635",,"45,906","3,308","58,437","1,308","12,278,835","637,971","19,246,710 ",South America,17,764,2
23,23,Canada,"1,121,498",,"23,623 ",,"1,009,950",,"87,925","1,167","29,509",622,"29,907,670","786,934","38,005,328 ",North America,34,"1,609",1
24,24,Romania,"1,031,072","+1,768","26,381 ",+149,"944,774","+3,982","59,917","1,448","53,884","1,379","7,914,543","413,614","19,135,100 ",Europe,19,725,2
25,25,Iraq,"984,950","+7,775","15,026 ",+45,"864,039","+7,507","105,885",493,"24,060",367,"8,847,336","216,124","40,936,402 ",Asia,42,"2,724",5
26,26,Belgium,"949,996","+2,996","23,747 ",+29,"804,223","+5,103","122,026",924,"81,686","2,042","11,985,089","1,030,550","11,629,800 ",Europe,12,490,1
27,27,Philippines,"945,745","+9,628","16,048 ",+88,"788,322","+9,266","141,375",750,"8,540",145,"11,197,550","101,117","110,738,989 ",Asia,117,"6,900",10
28,28,Sweden,"900,138",,"13,788 ",,"740,174","+9,787","146,176",391,"88,689","1,359","8,151,774","803,178","10,149,393 ",Europe,11,736,1
29,29,Israel,"837,160",+113,"6,338 ",+3,"828,552",+64,"2,270",193,"91,019",689,"13,977,443","1,519,685","9,197,590 ",Asia,11,"1,451",1
30,30,Portugal,"831,221",+220,"16,946 ",+1,"789,216",+547,"25,059",112,"81,709","1,666","9,690,372","952,561","10,172,969 ",Europe,12,600,1
31,31,Pakistan,"761,437","+5,152","16,316 ",+73,"662,845","+3,362","82,276","4,515","3,395",73,"11,204,529","49,956","224,289,117 ",Asia,295,"13,747",20
32,32,Hungary,"753,188","+2,680","25,381 ",+197,"458,212","+3,183","269,595","1,052","78,125","2,633","5,144,130","533,581","9,640,767 ",Europe,13,380,2
33,33,Bangladesh,"723,221","+4,271","10,497 ",+112,"621,300","+6,364","91,424",,"4,357",63,"5,194,219","31,292","165,993,675 ",Asia,230,"15,813",32
34,34,Jordan,"685,973",,"8,246 ",,"638,481",,"39,246",729,"66,705",802,"6,477,564","629,889","10,283,654 ",Asia,15,"1,247",2
35,35,Serbia,"664,972","+2,604","6,026 ",+35,"594,605","+5,070","64,341",217,"76,352",692,"3,695,993","424,375","8,709,259 ",Europe,13,"1,445",2
36,36,Switzerland,"637,304","+4,905","10,518 ",+10,"570,159",,"56,627",232,"73,211","1,208","6,538,153","751,082","8,704,984 ",Europe,14,828,1
37,37,Austria,"595,540","+2,117","9,922 ",+24,"557,467","+2,249","28,151",570,"65,825","1,097","29,014,550","3,206,980","9,047,312 ",Europe,15,912,0
38,38,Japan,"534,052","+4,223","9,641 ",+19,"483,052","+2,259","41,359",738,"4,233",76,"10,918,947","86,543","126,167,291 ",Asia,236,"13,087",12
39,39,Lebanon,"510,403",,"6,925 ",,"423,848",,"79,630",735,"75,048","1,018","3,814,173","560,823","6,801,027 ",Asia,13,982,2
40,40,Morocco,"505,811",,"8,945 ",,"491,810",,"5,056",235,"13,576",240,"6,163,347","165,423","37,258,087 ",Africa,74,"4,165",6
41,41,UAE,"498,957","+1,803","1,556 ",+2,"481,326","+1,760","16,075",,"49,969",156,"41,909,042","4,197,066","9,985,318 ",Asia,20,"6,417",0
42,42,Saudi Arabia,"405,940",+970,"6,834 ",+11,"389,598",+896,"9,508","1,087","11,518",194,"16,231,540","460,549","35,243,920 ",Asia,87,"5,157",2
43,43,Bulgaria,"386,381",,"15,195 ",,"306,678",,"64,508",783,"55,944","2,200","2,362,070","342,001","6,906,620 ",Europe,18,455,3
44,44,Malaysia,"377,132","+2,078","1,386 ",+8,"355,224","+1,402","20,522",228,"11,535",42,"8,665,139","265,027","32,695,285 ",Asia,87,"23,590",4
45,45,Slovakia,"376,067",+93,"11,172 ",+66,"255,300",,"109,595",430,"68,855","2,045","2,505,182","458,677","5,461,751 ",Europe,15,489,2
46,46,Panama,"360,841",,"6,188 ",,"350,610",,"4,043",105,"82,598","1,416","2,299,031","526,258","4,368,639 ",North America,12,706,2
47,47,Ecuador,"360,546",,"17,703 ",,"309,541",,"33,302",621,"20,192",991,"1,228,641","68,810","17,855,589 ",South America,50,"1,009",15
48,48,Belarus,"345,110",+887,"2,433 ",+10,"335,485",+633,"7,192",,"36,532",258,"5,676,595","600,899","9,446,843 ",Europe,27,"3,883",2
49,49,Greece,"315,273",,"9,462 ",,"267,947",,"37,864",841,"30,366",911,"7,468,808","719,374","10,382,376 ",Europe,33,"1,097",1
50,50,Croatia,"308,200",+410,"6,601 ",+39,"287,787","+2,227","13,812",199,"75,446","1,616","1,703,343","416,972","4,085,032 ",Europe,13,619,2
51,51,Azerbaijan,"301,661",+995,"4,169 ",+29,"265,539","+1,136","31,953",,"29,540",408,"3,114,879","305,026","10,211,851 ",Asia,34,"2,449",3
52,52,Georgia,"295,936",+578,"3,949 ",+10,"281,574",+659,"10,413",,"74,299",991,"3,885,539","975,517","3,983,055 ",Asia,13,"1,009",1
53,53,Kazakhstan,"289,720","+2,719","3,406 ",+22,"248,096","+1,773","38,218",221,"15,285",180,"9,624,583","507,757","18,955,109 ",Asia,65,"5,565",2
