,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
116,DRC,29084,0,748,0,26108,0,2228,0,317,8,145261,1584,91722743,Africa
117,Maldives,26667,0,71,0,23803,0,2793,68,48650,130,692619,1263578,548141,Asia
118,Mongolia,25364,1169,56,5,13346,486,11962,88,7639,17,2591926,780596,3320445,Asia
119,Angola,24661,0,565,0,22647,0,1449,23,732,17,447761,13296,33677562,Africa
120,Rwanda,24005,0,327,0,22560,0,1118,6,1818,25,1264616,95749,13207678,Africa
121,Gabon,22032,0,136,0,18706,0,3190,34,9716,60,693064,305646,2267541,Africa
122,Guinea,21633,0,139,0,18991,0,2503,24,1612,10,421175,31394,13415948,Africa
123,Syria,21433,0,1468,0,15088,0,4877,0,1201,82,103566,5806,17838986,Asia
124,Cabo Verde,20781,0,194,0,18350,0,2237,23,37055,346,142081,253346,560819,Africa
125,Mayotte,19849,0,169,0,2964,0,16716,7,71385,608,165683,595866,278054,Africa
126,Réunion,19343,0,141,0,17653,0,1549,36,21482,157,100098,111167,900431,Africa
127,French Polynesia,18720,0,141,0,4842,0,13737,4,66334,500,26355,93388,282210,Australia/Oceania
128,Eswatini,18417,0,671,0,17718,0,28,3,15744,574,178676,152744,1169777,Africa
129,French Guiana,18261,0,96,0,9995,0,8170,13,59904,315,203343,667050,304839,South America
130,Mauritania,18156,0,454,0,17519,0,183,14,3825,96,223135,47007,4746840,Africa
131,Somalia,13324,0,678,0,5518,0,7128,0,820,42,106063,6529,16245562,Africa
132,Mali,13246,0,444,0,7613,0,5189,0,639,21,247184,11933,20714145,Africa
133,Burkina Faso,13167,0,155,0,12812,0,200,0,616,7,177733,8321,21358829,Africa
134,Haiti,12918,0,251,0,11791,0,876,0,1122,22,60085,5219,11513691,North America
135,Andorra,12917,43,123,0,12334,49,460,25,166964,1590,193595,2502391,77364,Europe
136,Guadeloupe,12717,0,176,0,2242,0,10299,13,31778,440,164128,410136,400179,North America
137,Togo,12610,0,121,0,10350,0,2139,0,1495,14,301831,35791,8433191,Africa
138,Belize,12568,0,318,0,12161,0,89,1,31156,788,111668,276826,403387,North America
139,Guyana,11972,0,273,0,10297,0,1402,13,15162,346,108883,137897,789595,South America
140,Curaçao,11934,0,94,0,9572,0,2268,22,72489,571,90143,547546,164631,North America
141,Hong Kong,11705,1,209,0,11302,15,194,3,1551,28,11193673,1483451,7545696,Asia
142,Lesotho,10720,0,316,0,5868,0,4536,0,4973,147,73762,34215,2155852,Africa
143,Martinique,10611,0,68,0,98,0,10445,24,28294,181,149454,398511,375031,North America
144,Djibouti,10557,0,123,0,9607,0,827,0,10563,123,144891,144967,999479,Africa
