,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"136,128,812","+133,569","2,941,257","+2,177","109,513,322","+153,620","23,674,233","102,652","17,464",377.3,,,,All,"
",,
1,1,USA,"31,869,996",,"575,595 ",,"24,423,589",,"6,870,812","9,218","95,848","1,731","418,230,631","1,257,815","332,505,583 ",North America,10,578,1
2,2,Brazil,"13,445,006",,"351,469 ",,"11,838,564",,"1,254,973","8,318","62,907","1,644","28,600,000","133,814","213,728,826 ",South America,16,608,7
3,3,India,"13,358,805","+3,340","169,305 ",,"12,081,443","+3,110","1,108,057","8,944","9,607",122,"256,626,850","184,558","1,390,493,952 ",Asia,104,"8,213",5
4,4,France,"5,023,785",,"98,602 ",,"303,639",,"4,621,544","5,729","76,833","1,508","68,007,540","1,040,101","65,385,498 ",Europe,13,663,1
5,5,Russia,"4,641,390","+8,702","102,986 ",+337,"4,265,509","+7,230","272,895","2,300","31,794",705,"123,700,000","847,359","145,983,010 ",Europe,31,"1,418",1
6,6,UK,"4,368,045",,"127,080 ",,"3,961,738",,"279,227",406,"64,083","1,864","134,289,127","1,970,141","68,162,199 ",Europe,16,536,1
7,7,Turkey,"3,798,333",,"33,702 ",,"3,301,217",,"463,414","2,739","44,665",396,"41,297,580","485,623","85,040,447 ",Asia,22,"2,523",2
8,8,Italy,"3,754,077",,"113,923 ",,"3,107,069",,"533,085","3,588","62,161","1,886","52,801,766","874,306","60,392,805 ",Europe,16,530,1
9,9,Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,228","46,768,828 ",Europe,14,613,1
10,10,Germany,"2,992,803",,"78,858 ",,"2,671,200","+9,700","242,745","4,515","35,632",939,"51,559,277","613,862","83,991,585 ",Europe,28,"1,065",2
11,11,Poland,"2,574,631","+21,703","58,421 ",+245,"2,171,301","+28,236","344,909","3,459","68,086","1,545","12,912,603","341,473","37,814,435 ",Europe,15,647,3
12,12,Colombia,"2,518,715",,"65,608 ",,"2,375,176",,"77,931","2,603","49,096","1,279","13,246,202","258,200","51,302,055 ",South America,20,782,4
13,13,Argentina,"2,517,300",,"57,647 ",,"2,217,783",,"241,870","3,761","55,305","1,267","9,527,467","209,319","45,516,495 ",South America,18,790,5
14,14,Mexico,"2,278,420","+6,356","207,020 ",,"1,807,676","+2,763","263,724","4,798","17,529","1,593","6,265,261","48,202","129,979,772 ",North America,57,628,21
15,15,Iran,"2,070,141","+21,063","64,490 ",+258,"1,710,974","+8,912","294,677","4,392","24,405",760,"13,673,466","161,200","84,823,127 ",Asia,41,"1,315",6
16,16,Ukraine,"1,853,249","+12,112","37,014 ",+235,"1,410,860","+5,034","405,375",177,"42,575",850,"8,622,424","198,082","43,529,477 ",Europe,23,"1,176",5
17,17,Peru,"1,639,767",,"54,669 ",,"1,557,779",,"27,319","2,321","49,203","1,640","9,945,732","298,434","33,326,366 ",South America,20,610,3
18,18,Czechia,"1,580,189","+2,198","27,808 ",+37,"1,449,052",+129,"103,329","1,220","147,345","2,593","14,308,617","1,334,213","10,724,387 ",Europe,7,386,1
19,19,Indonesia,"1,566,995","+4,127","42,530 ",+87,"1,414,507","+5,219","109,958",,"5,682",154,"13,386,975","48,546","275,759,111 ",Asia,176,"6,484",21
20,20,South Africa,"1,557,527",,"53,256 ",,"1,482,682",,"21,589",546,"26,008",889,"10,115,923","168,919","59,886,167 ",Africa,38,"1,124",6
21,21,Netherlands,"1,342,447",,"16,754  ",,N/A,N/A,N/A,777,"78,212",976,"10,795,845","628,972","17,164,268 ",Europe,13,"1,024",2
22,22,Chile,"1,068,522",,"24,213 ",,"998,400",,"45,909","3,139","55,527","1,258","11,825,634","614,538","19,243,128 ",South America,18,795,2
23,23,Canada,"1,052,539",,"23,287 ",,"958,633",,"70,619",928,"27,700",613,"28,875,724","759,925","37,998,103 ",North America,36,"1,632",1
24,24,Romania,"1,006,167","+3,302","25,135 ",+129,"906,659","+4,420","74,373","1,531","52,575","1,313","7,687,854","401,709","19,137,890 ",Europe,19,761,2
25,25,Belgium,"922,487","+4,570","23,428 ",+38,"59,432",+267,"839,627",925,"79,328","2,015","11,670,137","1,003,563","11,628,700 ",Europe,13,496,1
26,26,Iraq,"918,155",,"14,678 ",,"809,663",,"93,814",453,"22,440",359,"8,469,899","207,004","40,916,625 ",Asia,45,"2,788",5
27,27,Philippines,"864,868","+11,681","14,945 ",+201,"703,404","+55,204","146,519",762,"7,812",135,"10,704,280","96,690","110,707,106 ",Asia,128,"7,408",10
28,28,Sweden,"857,401",,"13,621 ",,N/A,N/A,N/A,377,"84,489","1,342","7,530,772","742,093","10,148,019 ",Europe,12,745,1
29,29,Israel,"835,871",+60,"6,294 ",+2,"825,687",+172,"3,890",263,"90,879",684,"13,740,302","1,493,902","9,197,590 ",Asia,11,"1,461",1
30,30,Portugal,"826,928",,"16,910 ",,"784,208",,"25,810",119,"81,282","1,662","9,363,361","920,357","10,173,616 ",Europe,12,602,1
31,31,Pakistan,"721,018","+5,050","15,443 ",+114,"631,700","+4,139","73,875","4,143","3,216",69,"10,734,960","47,882","224,195,210 ",Asia,311,"14,518",21
32,32,Hungary,"720,164","+6,296","23,417 ",+206,"426,394","+3,028","270,353","1,290","74,696","2,429","4,934,786","511,838","9,641,301 ",Europe,13,412,2
