,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"135,517,401","+227,256","2,932,168","+4,418","109,022,270","+154,021","23,562,963","102,139","17,386",376.2,,,,All,"
",,
1,1,USA,"31,805,293","+2,521","574,893 ",+53,"24,352,334","+5,568","6,878,066","9,078","95,655","1,729","416,851,792","1,253,689","332,500,290 ",North America,10,578,1
2,2,Brazil,"13,375,414",,"348,934 ",,"11,791,885",,"1,234,595","8,318","62,582","1,633","28,600,000","133,817","213,724,704 ",South America,16,613,7
3,3,India,"13,243,917","+41,134","168,625 ",+158,"12,001,104","+13,164","1,074,188","8,944","9,525",121,"255,214,803","183,547","1,390,456,911 ",Asia,105,"8,246",5
4,4,France,"4,980,501",,"98,395 ",,"303,639",,"4,578,467","5,729","76,172","1,505","68,007,540","1,040,108","65,385,105 ",Europe,13,665,1
5,5,Russia,"4,632,688","+8,704","102,649 ",+402,"4,258,279","+9,579","271,760","2,300","31,734",703,"123,300,000","844,620","145,982,840 ",Europe,32,"1,422",1
6,6,UK,"4,365,461",,"127,040  ",,"3,957,317",,"281,104",421,"64,046","1,864","134,289,127","1,970,169","68,161,226 ",Europe,16,537,1
7,7,Turkey,"3,745,657",,"33,454 ",,"3,268,678",,"443,525","2,658","44,047",393,"40,994,845","482,077","85,037,969 ",Asia,23,"2,542",2
8,8,Italy,"3,736,526",,"113,579 ",,"3,086,586",,"536,361","3,603","61,870","1,881","52,480,874","868,989","60,393,047 ",Europe,16,532,1
9,9,Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,229","46,768,779 ",Europe,14,613,1
10,10,Germany,"2,980,982","+6,872","78,776 ",+87,"2,661,500","+13,900","240,706","4,439","35,492",938,"51,559,277","613,868","83,990,855 ",Europe,28,"1,066",2
11,11,Poland,"2,552,898","+24,856","58,176 ",+749,"2,143,065","+35,289","351,657","3,373","67,511","1,538","12,912,603","341,472","37,814,548 ",Europe,15,650,3
12,12,Colombia,"2,504,206",,"65,283 ",,"2,365,566",,"73,357","2,603","48,814","1,273","13,174,589","256,812","51,300,574 ",South America,20,786,4
13,13,Argentina,"2,497,881",,"57,350 ",,"2,203,926",,"236,605","3,718","54,880","1,260","9,451,754","207,661","45,515,363 ",South America,18,794,5
