,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
14,14,Mexico,"2,272,064","+5,045","207,020 ",+874,"1,804,913","+2,880","260,131","4,798","17,481","1,593","6,241,611","48,021","129,976,073 ",North America,57,628,21
15,15,Iran,"2,049,078","+19,666","64,232 ",+193,"1,702,062","+9,057","282,784","4,329","24,158",757,"13,577,057","160,069","84,820,190 ",Asia,41,"1,321",6
16,16,Ukraine,"1,841,137","+17,463","36,779 ",+398,"1,405,826","+10,722","398,532",177,"42,296",845,"8,568,004","196,829","43,530,191 ",Europe,24,"1,184",5
17,17,Peru,"1,628,519",,"54,285 ",,"1,547,807",,"26,427","2,313","48,868","1,629","9,876,422","296,366","33,325,110 ",South America,20,614,3
18,18,Czechia,"1,577,972","+4,791","27,734 ",+52,"1,448,843",+380,"101,395","1,287","147,139","2,586","14,230,215","1,326,909","10,724,333 ",Europe,7,387,1
19,19,Indonesia,"1,562,868","+4,723","42,443 ",+95,"1,409,288","+3,629","111,137",,"5,668",154,"13,344,869","48,395","275,751,213 ",Asia,176,"6,497",21
20,20,South Africa,"1,556,242",,"53,226 ",,"1,481,637",,"21,379",546,"25,988",889,"10,086,459","168,433","59,884,124 ",Africa,38,"1,125",6
21,21,Netherlands,"1,342,447","+7,676","16,754 ",+23,N/A,N/A,N/A,777,"78,212",976,"10,795,845","628,976","17,164,165 ",Europe,13,"1,024",2
22,22,Chile,"1,060,421",,"24,108 ",,"991,676",,"44,637","3,075","55,108","1,253","11,751,801","610,715","19,242,680 ",South America,18,798,2
23,23,Canada,"1,045,278",,"23,251 ",,"954,017",,"68,010",928,"27,509",612,"28,725,621","755,993","37,997,200 ",North America,36,"1,634",1
24,24,Romania,"1,002,865","+4,310","25,006 ",+139,"902,239","+5,666","75,620","1,492","52,401","1,307","7,666,540","400,588","19,138,239 ",Europe,19,765,2
25,25,Iraq,"918,155","+6,779","14,678 ",+37,"809,663","+4,891","93,814",453,"22,441",359,"8,469,899","207,016","40,914,153 ",Asia,45,"2,787",5
26,26,Belgium,"917,917","+4,860","23,390 ",+42,"59,165",+263,"835,362",925,"78,936","2,011","11,620,846","999,336","11,628,563 ",Europe,13,497,1
27,27,Sweden,"857,401",,"13,621 ",,N/A,N/A,N/A,377,"84,491","1,342","7,530,772","742,105","10,147,848 ",Europe,12,745,1
28,28,Philippines,"853,209","+12,674","14,744 ",+225,"648,220",+593,"190,245",762,"7,707",133,"10,704,280","96,694","110,703,120 ",Asia,130,"7,508",10
29,29,Israel,"835,674",,"6,280  ",,"825,195",,"4,199",270,"90,858",683,"13,729,129","1,492,688","9,197,590 ",Asia,11,"1,465",1
30,30,Portugal,"826,327",,"16,904 ",,"783,523",,"25,900",128,"81,222","1,662","9,363,361","920,350","10,173,697 ",Europe,12,602,1
31,31,Pakistan,"715,968","+5,139","15,329 ",+100,"627,561","+1,772","73,078","4,204","3,194",68,"10,688,894","47,679","224,183,472 ",Asia,313,"14,625",21
32,32,Hungary,"713,868","+8,053","23,211 ",+245,"423,366","+3,091","267,291","1,344","74,042","2,407","4,897,922","508,011","9,641,368 ",Europe,14,415,2
33,33,Bangladesh,"678,937","+5,343","9,661 ",+77,"572,378","+3,837","96,898",,"4,091",58,"4,973,489","29,969","165,953,360 ",Asia,244,"17,178",33
34,34,Jordan,"659,250",,"7,646 ",,"581,170",,"70,434",729,"64,122",744,"6,269,269","609,782","10,281,166 ",Asia,16,"1,345",2
35,35,Serbia,"639,476","+3,058","5,700 ",+41,"550,238","+4,730","83,538",260,"73,418",654,"3,577,398","410,717","8,710,121 ",Europe,14,"1,528",2
36,36,Switzerland,"617,543",,"10,450 ",,"557,566",,"49,527",189,"70,954","1,201","6,339,396","728,379","8,703,430 ",Europe,14,833,1
37,37,Austria,"574,755","+3,139","9,662 ",+38,"532,539","+3,348","32,554",586,"63,537","1,068","26,478,234","2,927,049","9,046,051 ",Europe,16,936,0
38,38,Morocco,"500,948",,"8,885 ",,"487,414",,"4,649",239,"13,449",239,"6,079,500","163,220","37,247,332 ",Africa,74,"4,192",6
39,39,Japan,"496,206",,"9,334 ",,"458,840",,"28,032",483,"3,933",74,"10,317,762","81,772","126,176,770 ",Asia,254,"13,518",12
40,40,Lebanon,"491,928",,"6,592 ",,"398,699",,"86,637",853,"72,323",969,"3,674,827","540,275","6,801,775 ",Asia,14,"1,032",2
41,41,UAE,"481,937","+1,931","1,529 ",+3,"466,804","+1,833","13,604",,"48,279",153,"40,021,387","4,009,203","9,982,380 ",Asia,21,"6,529",0
42,42,Saudi Arabia,"397,636",+878,"6,747 ",+10,"382,773",+575,"8,116",914,"11,287",192,"15,738,545","446,730","35,230,579 ",Asia,89,"5,222",2
43,43,Slovakia,"370,473","+1,080","10,487 ",+76,"255,300",,"104,686",515,"67,831","1,920","2,432,500","445,375","5,461,686 ",Europe,15,521,2
44,44,Bulgaria,"370,179",,"14,308 ",,"284,869",,"71,002",812,"53,588","2,071","2,257,555","326,808","6,907,899 ",Europe,19,483,3
45,45,Malaysia,"359,117","+1,510","1,321 ",+8,"342,737","+1,248","15,059",194,"10,987",40,"8,157,933","249,592","32,685,088 ",Asia,91,"24,743",4
46,46,Panama,"358,098",,"6,156 ",,"347,483",,"4,459",105,"82,002","1,410","2,225,209","509,555","4,366,967 ",North America,12,709,2
47,47,Ecuador,"342,678",,"17,158 ",,"290,314",,"35,206",602,"19,199",961,"1,183,906","66,329","17,848,997 ",South America,52,"1,040",15
48,48,Belarus,"334,863","+1,433","2,344 ",+10,"325,108","+1,360","7,411",,"35,447",248,"5,535,400","585,948","9,446,919 ",Europe,28,"4,030",2
49,49,Greece,"290,964",,"8,758 ",,"245,351",,"36,855",790,"28,021",843,"6,994,041","673,565","10,383,622 ",Europe,36,"1,186",1
50,50,Croatia,"290,899","+2,535","6,269 ",+34,"270,964","+2,035","13,666",180,"71,200","1,534","1,629,803","398,909","4,085,651 ",Europe,14,652,3
51,51,Georgia,"287,689",+506,"3,869 ",+11,"276,711",+285,"7,109",,"72,225",971,"3,646,580","915,480","3,983,242 ",Asia,14,"1,030",1
52,52,Azerbaijan,"283,579","+2,192","3,879 ",+33,"249,013","+1,554","30,687",,"27,776",380,"3,005,197","294,350","10,209,606 ",Asia,36,"2,632",3
53,53,Bolivia,"280,649","+1,442","12,428 ",+16,"230,021",+985,"38,200",71,"23,793","1,054","976,539","82,789","11,795,501 ",South America,42,949,12
54,54,Nepal,"279,725",+337,"3,039 ",+1,"273,886",+151,"2,800",,"9,470",103,"2,309,776","78,194","29,539,173 ",Asia,106,"9,720",13
55,55,Tunisia,"268,837",,"9,179 ",,"223,391",,"36,267",392,"22,565",770,"1,168,876","98,111","11,913,868 ",Africa,44,"1,298",10
56,56,Kazakhstan,"266,677","+2,734","3,202 ",+12,"232,835","+1,511","30,640",221,"14,073",169,"9,103,707","480,417","18,949,587 ",Asia,71,"5,918",2
57,57,Palestine,"265,897","+1,502","2,838 ",+26,"231,288","+1,412","31,771",190,"51,210",547,"1,623,732","312,722","5,192,257 ",Asia,20,"1,830",3
58,58,Dominican Republic,"256,563",,"3,382 ",,"215,726",,"37,455",155,"23,470",309,"1,339,875","122,568","10,931,710 ",North America,43,"3,232",8
59,59,Kuwait,"244,325",,"1,393 ",,"228,627",,"14,305",224,"56,568",323,"2,142,326","496,009","4,319,129 ",Asia,18,"3,101",2
60,60,Ireland,"240,192",,"4,769 ",,"23,364",,"212,059",52,"48,229",958,"4,153,203","833,934","4,980,256 ",Europe,21,"1,044",1
61,61,Moldova,"240,056",,"5,339 ",,"220,881",,"13,836",316,"59,616","1,326","894,243","222,078","4,026,708 ",Europe,17,754,5
62,62,Denmark,"237,101",+755,"2,439 ",+3,"225,968",+713,"8,694",37,"40,823",420,"28,833,972","4,964,566","5,807,954 ",Europe,24,"2,381",0
63,63,Paraguay,"232,142",,"4,698 ",,"189,971",,"37,473",445,"32,242",653,"962,987","133,749","7,199,969 ",South America,31,"1,533",7
64,64,Slovenia,"225,950","+1,250","4,112 ",+12,"207,927","+1,240","13,911",140,"108,674","1,978","1,100,996","529,539","2,079,159 ",Europe,9,506,2
65,65,Ethiopia,"225,516",,"3,111 ",,"167,945",,"54,460",895,"1,925",27,"2,430,217","20,746","117,143,517 ",Africa,519,"37,655",48
66,66,Lithuania,"225,308",+995,"3,671 ",+9,"205,768","+1,428","15,869",150,"83,671","1,363","2,480,073","921,007","2,692,785 ",Europe,12,734,1
67,67,Costa Rica,"222,544",,"3,018 ",,"194,760",,"24,766",199,"43,381",588,"842,015","164,137","5,129,965 ",North America,23,"1,700",6
68,68,Egypt,"208,876",,"12,362 ",,"158,454",,"38,060",90,"2,012",119,"2,507,491","24,153","103,815,779 ",Africa,497,"8,398",41
69,69,Armenia,"202,167","+1,009","3,720 ",+23,"181,180","+1,020","17,267",,"68,127","1,254","899,290","303,044","2,967,523 ",Asia,15,798,3
70,70,Guatemala,"201,295",,"6,977 ",,"183,917",,"10,401",5,"11,078",384,"1,095,962","60,317","18,169,964 ",North America,90,"2,604",17
71,71,Honduras,"194,548",+765,"4,766 ",+51,"75,233",+474,"114,549",512,"19,405",475,"536,963","53,559","10,025,665 ",North America,52,"2,104",19
72,72,Qatar,"189,064",+964,331 ,+7,"169,086",+552,"19,647",452,"67,335",118,"1,797,325","640,117","2,807,805 ",Asia,15,"8,483",2
73,73,Bosnia and Herzegovina,"181,927",,"7,298 ",,"139,419",,"35,210",,"55,720","2,235","835,478","255,889","3,265,007 ",Europe,18,447,4
74,74,Venezuela,"172,461",,"1,739 ",,"155,662",,"15,060",237,"6,078",61,"3,359,014","118,385","28,373,581 ",South America,165,"16,316",8
75,75,Oman,"168,005",,"1,747 ",,"149,969",,"16,289",204,"32,271",336,"1,550,000","297,732","5,206,018 ",Asia,31,"2,980",3
76,76,Libya,"166,888",,"2,807 ",,"152,328",,"11,753",,"24,036",404,"905,959","130,482","6,943,166 ",Africa,42,"2,474",8
77,77,Nigeria,"163,652",,"2,059 ",,"154,073",,"7,520",11,779,10,"1,803,177","8,584","210,050,728 ",Africa,"1,284","102,016",116
78,78,Bahrain,"154,280",,550 ,,"142,741",,"10,989",86,"88,329",315,"3,744,274","2,143,690","1,746,649 ",Asia,11,"3,176",0
79,79,Kenya,"144,154",,"2,309 ",,"98,183",,"43,662",236,"2,636",42,"1,549,388","28,336","54,679,096 ",Africa,379,"23,681",35
80,80,Myanmar,"142,572",+14,"3,206 ",,"131,846",+1,"7,520",,"2,607",59,"2,551,585","46,654","54,691,149 ",Asia,384,"17,059",21
81,81,North Macedonia,"140,065",,"4,150 ",,"113,430",,"22,485",124,"67,232","1,992","660,522","317,054","2,083,308 ",Europe,15,502,3
82,82,Uruguay,"137,946",,"1,363 ",,"104,241",,"32,342",453,"39,605",391,"1,504,177","431,859","3,483,027 ",South America,25,"2,555",2
83,83,Albania,"127,795",,"2,304 ",,"96,672",,"28,819",18,"44,445",801,"579,303","201,471","2,875,366 ",Europe,22,"1,248",5
84,84,Algeria,"118,251",,"3,123 ",,"82,392",,"32,736",19,"2,660",70,"230,861","5,193","44,458,992 ",Africa,376,"14,236",193
85,85,Estonia,"113,736",+639,"1,020 ",+14,"94,206","+1,344","18,510",72,"85,695",769,"1,192,330","898,363","1,327,225 ",Europe,12,"1,301",1
86,86,S. Korea,"108,945",+676,"1,765 ",+1,"99,301",+515,"7,879",108,"2,124",34,"8,106,630","158,014","51,303,292 ",Asia,471,"29,067",6
87,87,Latvia,"107,240",+666,"1,986 ",+5,"98,247",,"7,007",94,"57,347","1,062","2,020,745","1,080,604","1,870,015 ",Europe,17,942,1
88,88,Norway,"102,974",+255,684 ,,"88,952",,"13,338",61,"18,881",125,"4,824,081","884,515","5,453,925 ",Europe,53,"7,974",1
89,89,Sri Lanka,"94,724",+160,595 ,+2,"91,456",+184,"2,673",,"4,409",28,"2,374,627","110,537","21,482,568 ",Asia,227,"36,105",9
90,90,Montenegro,"93,803",,"1,354 ",,"87,768",,"4,681",69,"149,338","2,156","349,633","556,628","628,127 ",Europe,7,464,2
91,91,Ghana,"91,109",,752 ,,"88,971",,"1,386",32,"2,886",24,"1,020,874","32,337","31,570,317 ",Africa,347,"41,982",31
92,92,Kyrgyzstan,"90,019",+208,"1,519 ",+3,"85,824",+105,"2,676",24,"13,625",230,"897,438","135,834","6,606,892 ",Asia,73,"4,350",7
93,93,Zambia,"89,783",,"1,226 ",,"85,559",,"2,998",56,"4,781",65,"1,293,121","68,865","18,777,519 ",Africa,209,"15,316",15
94,94,Uzbekistan,"84,724",+195,634 ,,"82,586",+171,"1,504",23,"2,504",19,"1,377,915","40,716","33,842,182 ",Asia,399,"53,379",25
95,95,Cuba,"84,532",,448 ,,"78,916",,"5,168",66,"7,467",40,"3,170,526","280,050","11,321,269 ",North America,134,"25,271",4
96,96,Finland,"81,707",+446,868 ,,"46,000",,"34,839",41,"14,729",156,"4,142,869","746,817","5,547,372 ",Europe,68,"6,391",1
97,97,Mozambique,"68,506",,789 ,,"58,336",,"9,381",68,"2,146",25,"493,153","15,447","31,924,805 ",Africa,466,"40,462",65
98,98,El Salvador,"65,491",,"2,048 ",+4,"62,340",,"1,103",30,"10,058",315,"856,658","131,561","6,511,465 ",North America,99,"3,179",8
99,99,Luxembourg,"63,467",,763 ,,"58,874",,"3,830",30,"100,137","1,204","2,490,226","3,929,022","633,803 ",Europe,10,831,0
100,100,Cameroon,"61,731",,919 ,,"56,926",,"3,886",385,"2,282",34,"1,187,367","43,893","27,051,678 ",Africa,438,"29,436",23
101,101,Singapore,"60,633",+32,30 ,,"60,304",,299,1,"10,302",5,"8,789,647","1,493,361","5,885,816 ",Asia,97,"196,194",1
102,102,Afghanistan,"57,160",+16,"2,521 ",,"51,962",+1,"2,677","1,120","1,443",64,"367,390","9,277","39,600,147 ",Asia,693,"15,708",108
103,103,Cyprus,"50,589",,268 ,,"36,872",,"13,449",20,"41,667",221,"3,838,911","3,161,843","1,214,137 ",Asia,24,"4,530",0
104,104,Namibia,"45,193",,559 ,,"43,483",,"1,151",27,"17,542",217,"358,301","139,079","2,576,234 ",Africa,57,"4,609",7
105,105,Ivory Coast,"45,089",,260 ,,"44,197",,632,,"1,678",10,"548,998","20,425","26,878,311 ",Africa,596,"103,378",49
106,106,Botswana,"42,674",,636 ,,"38,203",,"3,835",1,"17,870",266,"944,985","395,714","2,388,048 ",Africa,56,"3,755",3
107,107,Jamaica,"41,843",,661 ,,"18,690",,"22,492",47,"14,083",222,"298,981","100,628","2,971,145 ",North America,71,"4,495",10
108,108,Uganda,"41,113",+27,337 ,,"40,685",,91,,878,7,"964,009","20,579","46,843,463 ",Africa,"1,139","139,001",49
109,109,Senegal,"39,364",+57,"1,077 ",+3,"38,101",+70,186,18,"2,304",63,"452,391","26,484","17,081,465 ",Africa,434,"15,860",38
110,110,Zimbabwe,"37,147",,"1,535 ",,"34,831",,781,3,"2,472",102,"390,833","26,005","15,029,288 ",Africa,405,"9,791",38
111,111,Malawi,"33,779",,"1,126 ",,"31,239",,"1,414",29,"1,732",58,"222,695","11,415","19,508,185 ",Africa,578,"17,325",88
112,112,Thailand,"31,658",+789,97 ,+1,"28,161",+33,"3,400",1,453,1,"8,124,896","116,177","69,935,286 ",Asia,"2,209","720,982",9
113,113,Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,220","44,633,495 ",Africa,"1,482","21,635",192
114,114,Malta,"29,548",+37,402 ,+1,"28,610",+49,536,,"66,783",909,"830,740","1,877,586","442,451 ",Europe,15,"1,101",1
115,115,Australia,"29,396",+8,909 ,,"26,352",+9,"2,135",,"1,143",35,"16,078,365","624,945","25,727,658 ",Australia/Oceania,875,"28,303",2
116,116,DRC,"28,542",+31,745 ,,"25,841",,"1,956",,311,8,"143,197","1,563","91,640,540 ",Africa,"3,211","123,007",640
117,117,Madagascar,"27,548",+514,493 ,+7,"23,481",+188,"3,574",246,976,17,"152,945","5,417","28,235,744 ",Africa,"1,025","57,273",185
118,118,Maldives,"25,436",,67 ,,"22,276",,"3,093",82,"46,428",122,"665,151","1,214,100","547,855 ",Asia,22,"8,177",1
119,119,Rwanda,"23,260",,314 ,,"20,991",,"1,955",5,"1,762",24,"1,207,093","91,460","13,197,999 ",Africa,567,"42,032",11
120,120,Angola,"23,242",,549 ,,"21,589",,"1,104",13,691,16,"438,556","13,034","33,646,691 ",Africa,"1,448","61,287",77
121,121,Guinea,"20,807",+61,133 ,+1,"18,473",+65,"2,201",24,"1,552",10,"413,716","30,862","13,405,203 ",Africa,644,"100,791",32
122,122,Gabon,"20,636",,127 ,,"17,456",,"3,053",20,"9,107",56,"662,689","292,454","2,265,958 ",Africa,110,"17,842",3
123,123,Syria,"20,008",,"1,360 ",,"13,780",,"4,868",,"1,122",76,,,"17,826,172 ",Asia,891,"13,107",
124,124,Mayotte,"19,643",,167 ,,"2,964",,"16,512",7,"70,695",601,"162,430","584,585","277,855 ",Africa,14,"1,664",2
125,125,French Polynesia,"18,652",,141 ,,"4,842",,"13,669",2,"66,104",500,"26,355","93,404","282,161 ",Australia/Oceania,15,"2,001",11
126,126,Cabo Verde,"18,629",,177 ,,"17,077",,"1,375",23,"33,228",316,"134,993","240,785","560,637 ",Africa,30,"3,167",4
127,127,Mauritania,"18,005",,450 ,,"17,307",,248,14,"3,796",95,"213,675","45,049","4,743,154 ",Africa,263,"10,540",22
128,128,French Guiana,"17,549",,94 ,,"9,995",,"7,460",9,"57,612",309,"169,271","555,707","304,605 ",South America,17,"3,240",2
129,129,Réunion,"17,508",,123 ,,"16,011",,"1,374",54,"19,448",137,"100,098","111,190","900,240 ",Africa,51,"7,319",9
130,130,Eswatini,"17,370",,669 ,,"16,642",,59,3,"14,854",572,"172,552","147,554","1,169,416 ",Africa,67,"1,748",7
131,131,Mongolia,"14,183",+689,20 ,+1,"8,875",+353,"5,288",88,"4,273",6,"2,370,316","714,196","3,318,857 ",Asia,234,"165,943",1
132,133,Burkina Faso,"12,924",,152 ,,"12,571",,201,,606,7,"174,792","8,190","21,341,538 ",Africa,"1,651","140,405",122
133,134,Haiti,"12,840",,251 ,,"11,447",,"1,142",,"1,116",22,"54,379","4,725","11,509,514 ",North America,896,"45,855",212
134,135,Belize,"12,485",,318 ,,"12,106",,61,1,"30,967",789,"103,373","256,401","403,170 ",North America,32,"1,268",4
135,136,Andorra,"12,456",,120 ,,"11,732",,604,12,"161,011","1,551","193,595","2,502,488","77,361 ",Europe,6,645,0
136,137,Somalia,"12,271",,605 ,,"5,129",,"6,537",,756,37,"98,053","6,041","16,232,185 ",Africa,"1,323","26,830",166
137,138,Guadeloupe,"12,140",,174 ,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397","400,177 ",North America,33,"2,300",3
138,139,Togo,"11,814",,116 ,,"8,985",,"2,713",,"1,402",14,"288,679","34,255","8,427,344 ",Africa,713,"72,650",29
139,140,Hong Kong,"11,569",+5,207 ,,"11,186",,176,7,"1,534",27,"11,193,673","1,483,810","7,543,871 ",Asia,652,"36,444",1
140,141,Mali,"11,393",,404 ,,"7,081",,"3,908",,550,20,"240,790","11,634","20,696,544 ",Africa,"1,817","51,229",86
141,142,Guyana,"10,958",,252 ,,"9,576",,"1,130",13,"13,880",319,"97,651","123,690","789,482 ",South America,72,"3,133",8
142,143,Curaçao,"10,909",,62 ,,"6,121",,"4,726",22,"66,271",377,"82,530","501,364","164,611 ",North America,15,"2,655",2
143,144,Lesotho,"10,707",,315 ,,"4,471",,"5,921",,"4,968",146,"68,712","31,880","2,155,342 ",Africa,201,"6,842",31
144,145,South Sudan,"10,359",+19,114 ,,"10,090",,155,,917,10,"138,774","12,287","11,294,753 ",Africa,"1,090","99,077",81
145,146,Congo,"10,084",,137 ,,"8,208",,"1,739",,"1,794",24,"92,500","16,453","5,622,068 ",Africa,558,"41,037",61
146,147,Aruba,"9,958",,92 ,,"9,283",,583,14,"92,965",859,"133,934","1,250,364","107,116 ",North America,11,"1,164",1
147,148,Djibouti,"9,662",,94 ,,"7,551",,"2,017",,"9,671",94,"137,434","137,565","999,047 ",Africa,103,"10,628",7
148,149,Bahamas,"9,364",,189 ,,"8,837",,338,4,"23,638",477,"79,493","200,669","396,139 ",North America,42,"2,096",5
149,150,Suriname,"9,265",,178 ,,"8,647",,440,7,"15,685",301,"45,863","77,644","590,683 ",South America,64,"3,318",13
150,151,Martinique,"9,028",,57 ,,98,,"8,873",5,"24,072",152,"133,358","355,583","375,040 ",North America,42,"6,580",3
151,152,Papua New Guinea,"8,342",+341,68 ,,846,,"7,428",,919,7,"63,700","7,018","9,077,096 ",Australia/Oceania,"1,088","133,487",142
152,153,Trinidad and Tobago,"8,323",,145 ,,"7,712",,466,14,"5,932",103,"115,228","82,130","1,402,988 ",North America,169,"9,676",12
153,154,Benin,"7,515",,93 ,,"6,452",,970,35,608,8,"548,484","44,354","12,366,127 ",Africa,"1,646","132,969",23
154,155,Equatorial Guinea,"7,059",,104 ,,"6,683",,272,11,"4,908",72,"111,994","77,874","1,438,142 ",Africa,204,"13,828",13
155,156,Nicaragua,"6,727",,179 ,,"4,225",,"2,323",,"1,006",27,,,"6,685,223 ",North America,994,"37,348",
156,157,Iceland,"6,258",,29 ,,"6,126",,103,,"18,248",85,"558,666","1,628,997","342,951 ",Europe,55,"11,826",1
157,158,Gambia,"5,564",,166 ,,"5,111",,287,3,"2,254",67,"58,464","23,683","2,468,564 ",Africa,444,"14,871",42
158,159,CAR,"5,491",+26,74 ,,"5,056",,361,2,"1,122",15,"40,907","8,358","4,894,258 ",Africa,891,"66,139",120
159,160,Yemen,"5,233",,"1,022 ",,"1,987",,"2,224",23,173,34,"20,872",688,"30,329,437 ",Asia,"5,796","29,677","1,453"
160,161,Niger,"5,062",,188 ,,"4,746",,128,1,204,8,"92,995","3,739","24,873,980 ",Africa,"4,914","132,308",267
161,162,San Marino,"4,944",,85 ,,"4,419",,440,10,"145,472","2,501","55,695","1,638,763","33,986 ",Europe,7,400,1
162,163,Chad,"4,619",,167 ,,"4,279",,173,,275,10,"110,863","6,604","16,786,050 ",Africa,"3,634","100,515",151
163,164,Seychelles,"4,395",,24 ,,"4,091",,280,,"44,476",243,"21,504","217,614","98,817 ",Africa,22,"4,117",5
164,165,Saint Lucia,"4,329",,64 ,,"4,143",,122,2,"23,492",347,"37,104","201,351","184,275 ",North America,43,"2,879",5
165,166,Gibraltar,"4,277",,94 ,,"4,180",+2,3,,"126,978","2,791","219,283","6,510,198","33,683 ",Europe,8,358,0
166,167,Cambodia,"4,081",+477,26 ,+2,"2,080",+96,"1,975",,242,2,"744,516","44,062","16,896,931 ",Asia,"4,140","649,882",23
167,168,Channel Islands,"4,051",,86 ,,"3,956",,9,1,"23,136",491,"399,901","2,283,870","175,098 ",Europe,43,"2,036",0
168,169,Sierra Leone,"3,995",,79 ,,"2,828",,"1,088",,493,10,"118,332","14,606","8,101,406 ",Africa,"2,028","102,549",68
169,170,Comoros,"3,758",,146 ,,"3,568",,44,,"4,252",165,,,"883,803 ",Africa,235,"6,053",
170,171,Barbados,"3,708",,44 ,,"3,579",,85,,"12,891",153,"145,227","504,879","287,647 ",North America,78,"6,537",2
171,172,Guinea-Bissau,"3,675",,66 ,,"3,049",,560,9,"1,834",33,"60,013","29,952","2,003,626 ",Africa,545,"30,358",33
172,173,Eritrea,"3,447",,10 ,,"3,166",,271,,962,3,"23,693","6,610","3,584,173 ",Africa,"1,040","358,417",151
173,174,Burundi,"3,078",,6 ,,773,,"2,299",,253,0.5,"90,019","7,402","12,161,279 ",Africa,"3,951","2,026,880",135
174,175,Liechtenstein,"2,738",+16,56 ,,"2,606",,76,4,"71,651","1,465","32,252","844,006","38,213 ",Europe,14,682,1
175,176,Vietnam,"2,692",+9,35 ,,"2,429",,228,,27,0.4,"2,598,753","26,514","98,013,529 ",Asia,"36,409","2,800,387",38
176,177,New Zealand,"2,571",+10,26 ,,"2,440",,105,,514,5,"1,937,821","387,401","5,002,100 ",Australia/Oceania,"1,946","192,388",3
177,178,Monaco,"2,369",,31 ,,"2,220",,118,6,"60,040",786,"51,953","1,316,699","39,457 ",Europe,17,"1,273",1
178,179,Turks and Caicos,"2,344",,17 ,,"2,279",,48,2,"59,918",435,"37,014","946,166","39,120 ",North America,17,"2,301",1
179,180,Sao Tome and Principe,"2,261",,35 ,,"2,172",,54,,"10,172",157,"12,597","56,671","222,283 ",Africa,98,"6,351",18
180,181,Sint Maarten,"2,182",,27 ,,"2,116",,39,1,"50,450",624,"24,628","569,420","43,251 ",North America,20,"1,602",2
181,182,Liberia,"2,042",,85 ,,"1,899",,58,2,397,17,"79,684","15,476","5,148,732 ",Africa,"2,521","60,573",65
182,183,St. Vincent Grenadines,"1,790",+1,10 ,,"1,651",+16,129,2,"16,095",90,"43,812","393,950","111,212 ",North America,62,"11,121",3
183,184,Bermuda,"1,773",+116,14 ,,888,+24,871,28,"28,551",225,"214,340","3,451,530","62,100 ",North America,35,"4,436",0
