,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"138,123,821","+116,790","2,974,946","+3,658","111,133,601","+98,801","24,015,274","106,032","17,720",381.7,,,,All,"
",,
1,1,USA,"32,070,784",,"577,179 ",,"24,626,410",,"6,867,195","9,505","96,447","1,736","422,126,761","1,269,472","332,521,463 ",North America,10,576,1
2,2,India,"13,873,825","+2,504","172,115 ",,"12,336,036","+3,348","1,365,674","8,944","9,977",124,"260,618,866","187,414","1,390,605,073 ",Asia,100,"8,080",5
3,3,Brazil,"13,601,566",,"358,718 ",,"12,074,798",,"1,168,050","8,318","63,636","1,678","28,600,000","133,807","213,741,192 ",South America,16,596,7
4,4,France,"5,106,329",,"99,480 ",,"313,051",,"4,693,798","5,952","78,094","1,521","70,448,755","1,077,418","65,386,679 ",Europe,13,657,1
5,5,Russia,"4,666,209","+8,326","104,000 ",+399,"4,291,223","+9,447","270,986","2,300","31,964",712,"124,400,000","852,151","145,983,521 ",Europe,31,"1,404",1
6,6,UK,"4,375,814",,"127,123 ",,"3,992,416",,"256,275",377,"64,194","1,865","137,848,442","2,022,273","68,165,116 ",Europe,16,536,0
7,7,Turkey,"3,962,760",,"34,455 ",,"3,424,733",,"503,572","2,951","46,594",405,"42,199,485","496,185","85,047,882 ",Asia,21,"2,468",2
8,8,Italy,"3,793,033",,"115,088 ",,"3,158,725",,"519,220","3,526","62,807","1,906","53,550,491","886,714","60,392,079 ",Europe,16,525,1
9,9,Spain,"3,376,548",,"76,625 ",,"3,114,053",,"185,870","2,152","72,196","1,638","44,285,495","946,899","46,768,976 ",Europe,14,610,1
10,10,Germany,"3,031,836",,"79,408 ",,"2,718,700","+18,500","233,728","4,662","36,096",945,"51,559,277","613,846","83,993,775 ",Europe,28,"1,058",2
